iter	Passed	Remaining
901	26528	2882
902	26560	2853
903	26591	2823
904	26626	2795
905	26647	2764
906	26680	2735
907	26712	2706
908	26744	2677
909	26775	2648
910	26807	2618
911	26836	2589
912	26870	2560
913	26903	2531
914	26935	2502
915	26967	2472
916	27001	2443
917	27030	2414
918	27064	2385
919	27102	2356
920	27133	2327
921	27164	2298
922	27193	2268
923	27225	2239
924	27256	2209
925	27286	2180
926	27315	2151
927	27344	2121
928	27373	2092
929	27405	2062
930	27436	2033
931	27461	2003
932	27491	1974
933	27521	1944
934	27552	1915
935	27582	1885
936	27612	1856
937	27645	1827
938	27676	1797
939	27706	1768
940	27735	1739
941	27764	1709
942	27794	1680
943	27824	1650
944	27856	1621
945	27887	1591
946	27917	1562
947	27948	1533
948	27981	1503
949	28012	1474
950	28042	1444
951	28074	1415
952	28104	1386
953	28135	1356
954	28166	1327
955	28199	1297
956	28231	1268
957	28262	1239
958	28292	1209
959	28322	1180
960	28353	1150
961	28386	1121
962	28417	1091
963	28447	1062
964	28478	1032
965	28509	1003
966	28539	973
967	28571	944
968	28592	914
969	28624	885
970	28656	855
971	28686	826
972	28719	796
973	28750	767
974	28780	737
975	28811	708
976	28842	678
977	28872	649
978	28904	620
979	28936	590
980	28966	561
981	28996	531
982	29025	501
983	29063	472
984	29093	443
985	29124	413
986	29159	384
987	29189	354
988	29222	325
989	29253	295
990	29284	265
991	29314	236
992	29344	206
993	29375	177
994	29404	147
995	29434	118
996	29467	88
997	29498	59
998	29526	29
999	29556	0
